id,playername,score,coins,kills,damagedealt,dps,timestamp,game_time
456,mbailecn,69,7362,21,8094,728,6/5/2022,1327
457,wpaynco,227,3127,67,3175,17,9/28/2022,903
458,jhannecp,628,2562,55,4682,606,7/15/2022,1407
459,ygledercq,276,8524,88,4326,842,8/28/2022,3320
460,hquartermainecr,96,792,67,6479,832,6/16/2022,3011
461,pgillivercs,831,3230,14,2924,759,4/9/2022,873
462,ejulyct,938,3482,24,4335,354,6/21/2022,525
463,redridgecu,910,1680,3,7421,589,3/9/2022,678
464,jkliementcv,217,9395,90,3604,451,7/23/2022,468
465,ghubatschcw,712,714,70,2204,542,3/19/2022,2853
466,wdarrigoecx,100,8015,73,2744,479,4/15/2022,2674
467,pbrownsillcy,76,702,28,3380,593,4/12/2022,230
468,ldabnotcz,434,5870,74,4342,714,8/22/2022,169
469,aevensd0,306,2257,69,5213,969,10/10/2022,1903
470,rduttond1,421,6850,100,8248,379,1/28/2022,1964
471,mhillockd2,397,3724,100,8220,568,1/15/2022,2851
472,ohembrowd3,32,5845,18,7652,606,5/18/2022,163
473,blemmersd4,109,7885,42,8447,951,11/5/2022,3404
474,ahinschd5,192,2448,36,6434,715,7/31/2022,1419
475,npurselowed6,912,6358,20,8099,978,3/24/2022,1943
476,hschulterd7,408,4470,31,9461,17,1/8/2022,1500
477,wgallafantd8,582,8930,48,7376,499,5/28/2022,1884
478,aharyngtond9,341,9664,89,9560,314,1/8/2022,3361
479,omacnishda,774,3632,88,1177,469,10/4/2022,1175
480,tdesmonddb,116,7482,2,2963,141,3/7/2022,3035
481,dwoodhalldc,376,385,27,9660,357,4/18/2022,1639
482,jorowanedd,669,6325,62,799,446,8/22/2022,3548
483,rthurstancede,528,6932,25,1852,180,3/21/2022,1033
484,lczajkadf,690,797,59,6374,486,7/10/2022,1004
485,cdedomenicisdg,745,4138,97,8583,825,6/21/2022,527
486,bgerretsdh,209,1590,97,8160,256,11/9/2022,1977
487,bderilldi,974,2334,31,6386,935,6/14/2022,6
488,gpersencedj,109,1474,53,6433,871,7/23/2022,501
489,hgrangerdk,316,3073,25,5743,501,5/11/2022,548
490,cmeardondl,155,3879,44,7144,489,7/11/2022,2959
491,hjosskovitzdm,834,8860,23,6109,959,2/11/2022,1758
492,ocordsdn,192,8023,37,6459,960,6/23/2022,1280
493,mbonnordo,660,5959,83,530,223,5/14/2022,3428
494,czavattieridp,113,5846,66,4705,84,3/18/2022,3029
495,srekesdq,296,9197,77,1077,867,8/14/2022,1997
496,kmosdelldr,211,8337,47,665,923,2/28/2022,2269
497,mgoozeeds,498,1666,33,2905,940,2/1/2022,1244
498,mdanaherdt,268,8690,100,4310,665,9/20/2022,416
499,atannerdu,433,6341,86,2955,301,11/21/2022,241
500,cvongladbachdv,703,132,18,822,118,1/24/2022,3443
501,ghindrichdw,942,9345,22,2997,748,8/21/2022,783
502,kstuerdx,736,9157,49,186,277,12/9/2022,981
503,ngatrelldy,140,868,69,4684,220,7/6/2022,2499
504,kperkisdz,940,463,18,234,668,7/28/2022,3587
505,hgyngylle0,308,4072,50,4777,944,1/3/2022,206
506,awalentynowicze1,581,9,80,4966,936,12/6/2022,1356
507,ahinzere2,783,8209,16,5244,190,11/29/2022,3574
508,lselesnicke3,511,3287,29,4136,364,6/5/2022,1708
509,tdiggense4,355,4703,74,3727,687,8/9/2022,1010
510,cpadghame5,821,1083,71,7152,935,10/9/2022,2026
511,rdutche6,118,2854,93,7331,975,4/2/2022,911
512,rcabenae7,704,432,51,2175,557,10/6/2022,582
513,eiowarche8,659,8271,33,3069,815,3/8/2022,154
514,dcawthrone9,260,2254,69,2607,520,11/19/2022,988
515,msmeesea,872,2773,21,4933,141,3/15/2022,1578
516,amerrieneb,802,6824,50,6570,181,4/12/2022,983
517,ppedrielliec,639,4314,91,6293,968,11/19/2022,2066
518,bgiacomettied,870,9765,31,1041,354,6/6/2022,888
519,gfryettee,343,9364,90,9950,81,10/11/2022,2729
520,gcalderbankef,266,9434,20,9591,612,10/18/2022,1518
521,hzavittierieg,918,9323,39,9376,361,1/24/2022,269
522,asilsoneh,813,3467,97,6611,450,1/16/2022,1732
523,ljeramei,385,1257,44,7060,697,5/16/2022,1995
524,labadeej,56,6118,66,6567,357,11/17/2022,1500
525,hsabaterek,565,9012,59,6592,658,12/5/2022,2788
526,cgaifordel,348,8083,14,9938,20,10/15/2022,3510
527,agallelliem,744,8463,29,3188,616,9/17/2022,2099
528,fparsonsonen,333,116,18,5507,463,5/22/2022,3397
529,fwhiteleyeo,821,6131,67,311,556,12/28/2022,1588
530,cshotboltep,917,7325,11,8061,133,8/1/2022,384
531,llaurandeq,181,5571,64,2413,431,10/5/2022,833
532,sbulmaner,0,4918,74,6693,151,9/25/2022,2097
533,glittes,365,8120,89,3467,143,7/15/2022,916
534,ebourbonet,526,87,78,3856,52,8/26/2022,1651
535,awoodereu,510,7151,70,9596,677,5/21/2022,1717
536,tcardonev,926,6106,67,5997,199,8/14/2022,3508
537,ohixsonew,935,4798,12,5146,274,4/7/2022,1753
538,eleneyex,58,3344,84,4490,34,8/9/2022,1220
539,jvennyey,366,816,57,7956,995,10/11/2022,2930
540,rheapeez,58,3869,9,6277,590,11/14/2022,2249
541,cbaptyf0,341,4539,17,1458,56,9/26/2022,1791
542,rhamertonf1,826,5485,11,3973,738,7/28/2022,1486
543,dfennf2,451,4841,19,4661,976,9/5/2022,2225
544,fcoburnf3,582,3595,3,9930,486,3/18/2022,1956
545,gminnockf4,798,2233,0,7910,189,3/16/2022,2416
546,gsurplicef5,232,1546,22,2623,916,6/11/2022,3025
547,adarkerf6,5,8092,62,5434,118,2/23/2022,3059
548,ntidballf7,26,4925,46,4361,588,8/11/2022,3214
549,tadaminif8,427,9029,15,5009,381,5/13/2022,2509
550,estricklandf9,351,4119,4,4004,576,6/10/2022,2256
551,kswinnertonfa,137,4296,48,515,917,8/29/2022,1193
552,vsummerhayesfb,231,8590,29,2902,588,8/19/2022,1243
553,mknaggesfc,829,6797,16,6815,120,10/17/2022,713
554,aartheyfd,408,4116,57,943,552,6/16/2022,1643
555,slaffanfe,953,1464,59,9213,20,2/22/2022,1351
556,ppreeneff,620,497,65,4305,847,11/27/2022,3129
557,rhacklyfg,613,4499,28,3204,848,2/8/2022,2228
558,rstokoefh,885,3330,9,3196,811,10/2/2022,2930
559,nouldcottfi,196,4927,28,574,835,8/25/2022,1218
560,dparkenfj,800,6689,77,2090,983,10/11/2022,722
561,cisabellfk,407,8804,39,1832,361,12/26/2022,1762
562,aborzonifl,595,2195,96,4723,984,3/6/2022,179
563,jpattendenfm,712,532,71,5525,541,9/12/2022,1384
564,mgoodacrefn,649,1708,42,3474,173,7/13/2022,1929
565,dkemberyfo,470,2896,68,9945,31,3/30/2022,1118
566,jdufallfp,265,296,97,8634,821,3/20/2022,2537
567,mfancourtfq,9,930,39,8864,51,5/28/2022,2334
568,ckopsfr,371,175,46,4351,821,2/27/2022,2097
569,mespaderofs,168,557,92,7921,133,3/10/2022,2387
570,mvinickft,89,6892,36,5062,240,8/6/2022,1493
571,cburgefu,759,1997,80,431,866,11/12/2022,3307
572,ctilberryfv,809,5781,1,2916,671,1/4/2022,2756
573,wbradwellfw,36,8557,98,3778,238,12/15/2022,1099
574,mfortinfx,791,2935,79,2080,31,10/31/2022,848
575,rmelmethfy,921,4271,92,4414,41,2/6/2022,2588
576,gpiersfz,594,5209,95,9134,804,1/13/2022,3532
577,gortong0,902,8491,6,2292,53,8/13/2022,651
578,bhollingbyg1,882,2159,84,9010,607,10/19/2022,1406
579,cdominicog2,212,793,53,4126,334,10/6/2022,3361
580,alamplughg3,650,7862,2,1649,613,4/11/2022,1468
581,abattersg4,470,6102,23,6587,851,4/10/2022,1001
582,dalgeog5,447,2936,57,9394,211,11/13/2022,129
583,jgrayshong6,780,4707,3,5473,273,12/9/2022,2889
584,sinnottg7,662,8672,2,2287,217,1/13/2022,3300
585,msleenyg8,887,509,51,6650,230,12/23/2022,1062
586,pcoareg9,929,3355,56,9279,123,12/19/2022,3455
587,shansenga,962,3152,17,4177,73,2/21/2022,927
588,shabbingb,119,2334,52,1251,292,9/3/2022,11
589,adunstallgc,634,1293,40,4383,847,10/23/2022,1619
590,lbentsengd,172,4947,83,5718,256,3/5/2022,189
591,mraynege,35,5539,37,9556,730,10/15/2022,1281
592,lawtygf,860,4582,80,9937,38,7/15/2022,2427
593,sstudartgg,799,217,94,5748,655,11/15/2022,3541
594,ggiffgh,770,1473,37,5830,560,2/4/2022,2133
595,dzuenelligi,617,3729,59,1728,388,2/24/2022,3521
596,gchidzoygj,602,1802,42,2860,55,4/22/2022,203
597,pjobbgk,267,5739,37,6525,664,5/14/2022,769
598,jchettoegl,227,5057,12,3071,974,11/16/2022,1652
599,eayliffegm,741,2940,47,5478,613,7/2/2022,2021
600,swileygn,974,6855,2,9559,342,3/26/2022,2391
601,cfeathersgo,290,683,75,8899,231,7/7/2022,568
602,lscuttgp,100,3745,69,1738,389,8/4/2022,2985
603,bkeatesgq,305,7216,7,3170,498,2/22/2022,367
604,gsmurfittgr,514,835,31,1493,39,7/19/2022,3559
605,opedycangs,500,979,20,4347,53,6/23/2022,3490
606,owoodwindgt,85,2711,47,9095,489,6/24/2022,1448
607,lmilbygu,647,756,72,2345,694,10/25/2022,1496
608,rparringv,209,3962,68,9719,681,10/17/2022,585
609,kevertgw,960,4622,65,8068,696,3/9/2022,817
610,hroccogx,650,4059,94,74,418,3/13/2022,1064
611,rkerssgy,488,1154,2,1654,995,11/11/2022,953
612,ralthropgz,6,3024,4,956,570,1/30/2022,3391
613,gkenneyh0,232,4301,36,5099,952,12/24/2022,3219
614,pheinemannh1,473,2114,87,1111,998,7/20/2022,726
615,dcrightonh2,919,5661,62,3243,971,1/26/2022,2171
616,bgeindreh3,248,7732,91,2601,446,10/18/2022,468
617,rmckellenh4,416,1247,84,6120,403,2/20/2022,3136
618,nkilgrewh5,483,7255,64,5006,663,11/24/2022,24
619,ssnalumh6,277,8321,57,8318,110,12/8/2022,1397
620,clapthorneh7,680,1848,28,9716,328,4/22/2022,1995
621,esehorschh8,10,8765,87,9039,157,9/26/2022,483
622,gellulh9,326,8176,44,7329,481,11/16/2022,821
623,ocondictha,764,5819,29,5640,679,5/1/2022,840
624,wdankersleyhb,627,8531,52,5110,938,7/5/2022,2650
625,twithinshawhc,342,4259,0,8704,34,8/7/2022,1971
626,asutworthhd,854,558,18,1227,712,4/23/2022,2440
627,lbullenthe,214,9917,82,97,518,1/24/2022,2543
628,logerhf,333,5890,21,6304,407,6/29/2022,1238
629,lboyeshg,261,4037,97,2289,925,4/25/2022,1994
630,ndashh,421,5527,89,3641,242,4/2/2022,3170
631,alouchhi,365,8907,36,8440,416,6/8/2022,3179
632,gwhostonhj,465,2448,22,8728,240,7/16/2022,811
633,wconyershk,927,8153,55,5996,274,8/5/2022,2265
634,dbeneyhl,40,7707,79,4173,621,12/12/2022,2538
635,anergerhm,914,3295,65,8136,599,6/1/2022,2010
636,fathertonhn,292,8996,28,2305,721,4/17/2022,578
637,rlongdenho,89,8628,17,1319,345,3/24/2022,2313
638,lmatussovhp,691,3742,57,3856,269,9/15/2022,2167
639,welkinhq,894,8588,85,1359,540,11/19/2022,985
640,rcookleyhr,974,3421,59,199,661,10/28/2022,1448
641,acornehlhs,710,8246,60,8633,879,3/5/2022,1639
642,acowitzht,582,1335,33,7187,812,9/4/2022,887
643,fcusworthhu,852,8050,25,0,546,11/23/2022,2959
644,ephauphv,137,3424,9,6671,462,3/2/2022,984
645,ggrigorianhw,731,2329,76,42,868,7/20/2022,1708
646,aupwoodhx,907,3848,1,2214,221,7/23/2022,2629
647,inairyhy,621,9047,35,478,100,9/28/2022,508
648,clewerhz,358,3120,100,9377,989,2/9/2022,1265
649,ctouroti0,218,9194,78,2353,813,1/21/2022,2806
650,hmattussevichi1,813,9690,81,3694,743,1/2/2022,3191
651,mierlandi2,523,8970,54,3676,127,3/22/2022,1828
652,esinclairi3,996,4991,0,3457,138,10/4/2022,128
653,gmehewi4,128,2959,48,1419,405,3/13/2022,2082
654,lspolleni5,487,7985,2,2133,270,2/17/2022,603
655,wrahli6,459,9175,100,7759,658,3/21/2022,3404
656,rparissi7,794,1186,100,816,99,6/17/2022,427
657,pbecksoni8,50,6123,57,9291,696,5/17/2022,1701
658,rkruschevi9,309,8970,49,8294,341,1/31/2022,1216
659,gsheffieldia,916,6436,65,2193,693,5/2/2022,687
660,mmckinlessib,757,4279,58,2471,392,4/5/2022,760
661,wquippic,904,9805,74,369,522,6/17/2022,3469
662,kperotid,369,1593,0,27,557,4/30/2022,330
663,gmoresbyie,136,1640,91,4966,665,1/17/2022,820
664,awhitmanif,827,3303,39,4801,328,7/21/2022,335
665,gjablonskiig,205,2714,75,8982,886,8/11/2022,917
666,dcorkerih,561,7035,26,3055,840,3/25/2022,2084
667,clegroveii,363,8981,15,1124,177,8/6/2022,2623
668,adeavinij,858,3438,48,5934,925,11/28/2022,1649
669,kbaccusik,108,9271,34,591,862,11/3/2022,303
670,ajarvieil,601,5098,61,6941,593,11/2/2022,2486
671,swoollardim,893,5537,75,182,849,12/26/2022,1601
672,rfennellin,597,6163,68,2707,509,1/23/2022,685
673,jtelezhkinio,778,5983,29,2230,771,5/2/2022,2634
674,espyvyeip,307,1609,96,2117,826,3/13/2022,1311
675,vlukeriq,421,8844,32,4310,661,11/5/2022,1659
676,dratledgeir,946,3824,83,760,99,8/17/2022,1946
677,gpentonis,866,9520,65,4232,82,8/28/2022,412
678,egrettonit,268,8777,75,9896,249,4/14/2022,3185
679,dpicknettiu,417,9198,91,2015,563,5/6/2022,2492
680,omclugaishiv,807,2040,98,6213,52,8/19/2022,3500
681,fgainsburyiw,9,864,31,9439,996,7/3/2022,3051
682,nbeesleyix,285,382,50,3831,381,3/2/2022,1485
683,tdinsaleiy,607,5886,89,7325,273,11/14/2022,3268
684,tblemeniz,244,6536,32,1319,928,9/25/2022,2377
685,rbartolettij0,468,2395,24,7587,130,8/16/2022,961
686,wkneebonej1,204,5740,46,643,798,11/3/2022,2399
687,beptonj2,992,6459,47,2161,383,5/5/2022,2410
688,kchimientij3,989,735,6,6894,555,7/7/2022,719
689,cimessonj4,522,2999,54,3364,476,9/29/2022,1676
690,spaslowj5,760,2923,54,1174,431,10/10/2022,1821
691,gjeremaesj6,751,9760,14,1042,132,6/12/2022,1277
692,tgillibrandj7,835,4670,83,9605,1000,6/8/2022,2773
693,mkienleinj8,430,6970,48,8823,833,4/5/2022,136
694,sbrandtsj9,141,3121,23,4494,14,6/21/2022,454
695,dharbertja,661,6442,51,540,418,7/7/2022,2821
696,hremonjb,107,1975,28,2874,7,9/24/2022,168
697,lpoadjc,862,8628,33,6483,997,10/8/2022,2177
698,asaleryjd,931,9423,73,6635,674,8/8/2022,5
699,mickovitzje,904,1227,73,521,739,8/30/2022,1198
700,aairdjf,237,5433,67,5575,149,7/14/2022,3343
701,bgricksjg,987,2513,90,4933,194,8/4/2022,2756
702,sledgardjh,699,2372,51,4258,426,10/27/2022,166
703,cfortounji,908,7159,2,6084,49,9/28/2022,3448
704,rdelaprellejj,224,8201,0,3562,552,5/24/2022,2034
705,cobrallaghanjk,479,7639,13,9893,808,1/19/2022,3218
706,rbrotherickjl,613,2480,12,493,808,6/27/2022,41
707,amcmurtyjm,2,3252,42,3350,237,2/28/2022,2828
708,lcaslanejn,37,7905,16,3742,451,4/7/2022,2627
709,hgridonjo,995,5542,54,5032,418,12/25/2022,1906
710,dlockhartjp,423,2067,35,8776,534,4/22/2022,2520
711,vbirranejq,718,6829,21,8801,488,10/3/2022,1503
712,kmouncherjr,650,2122,56,391,237,1/12/2022,999
713,nmadnerjs,879,7879,85,4355,463,3/18/2022,693
714,bpunchardjt,467,1593,18,1339,793,9/13/2022,508
715,cblandenju,77,943,53,9923,15,3/2/2022,3001
716,jhardinghamjv,643,1509,13,4415,529,5/14/2022,2953
717,wmacieiczykjw,153,8787,71,502,331,5/4/2022,2390
718,okennsleyjx,352,7994,2,9127,608,11/19/2022,675
719,jpeekevoutjy,400,7790,59,5093,822,2/23/2022,1956
720,fpetcheyjz,777,980,2,1594,993,6/24/2022,2390
721,setheridgek0,299,1491,26,5558,440,7/26/2022,1316
722,dilsleyk1,634,8487,58,7561,132,11/24/2022,1437
723,wcoddringtonk2,596,5527,38,430,318,4/10/2022,1691
724,ckitneyk3,504,7318,21,2264,545,1/12/2022,1327
725,ajanuk4,498,6098,83,7013,806,10/31/2022,3302
726,rpetrosellik5,182,1268,100,1974,451,7/15/2022,1084
727,eellowayk6,870,1603,25,1363,681,9/26/2022,801
728,tcosseyk7,851,1582,42,5,387,8/10/2022,3549
729,afabryk8,270,8359,48,3875,386,6/3/2022,3545
730,cpipesk9,844,2585,71,884,524,11/17/2022,611
731,odoxeyka,378,7598,71,3116,170,2/10/2022,1931
732,ddominiquekb,70,5291,14,2011,45,10/29/2022,3136
733,gdurgankc,183,6700,15,4740,478,8/20/2022,3343
734,hlawerencekd,0,5220,31,6226,622,12/25/2022,2446
735,lwhitfieldke,113,6893,78,305,801,7/14/2022,3168
736,myankishinkf,153,4641,70,9118,578,3/9/2022,83
737,pmarquiskg,203,5385,22,1186,631,1/3/2022,3063
738,otestrokh,564,957,32,1517,323,11/11/2022,2623
739,osotheronki,225,3463,60,4309,183,7/6/2022,3073
740,atiesmankj,65,4934,6,667,878,2/23/2022,1929
741,kliddlekk,672,8652,70,8882,91,3/18/2022,1090
742,rforrekl,640,7598,89,1412,702,5/1/2022,3270
743,aspennockkm,262,8179,69,6045,860,1/19/2022,3462
744,imolohankn,761,5695,73,449,532,7/1/2022,194
745,cdominighiko,343,3730,66,1080,948,5/11/2022,2386
746,ppemblekp,958,6033,10,4864,648,9/15/2022,1923
747,yduddridgekq,824,9219,12,9405,682,3/22/2022,3559
748,cbileskr,10,172,77,123,725,2/5/2022,1875
749,gbloxsomks,240,680,3,145,159,6/10/2022,2625
750,byurchenkokt,164,7290,19,6571,128,4/8/2022,124
751,rfuzzardku,614,212,50,1448,709,2/18/2022,3296
752,rredihoughkv,100,9323,10,3512,412,11/11/2022,1668
753,dlecountkw,351,3847,96,3684,601,4/30/2022,1945
754,emaccartneykx,39,3829,59,8916,986,1/6/2022,649
755,rmirfinky,39,7374,82,2688,422,3/30/2022,632
756,mwiddisonkz,800,3447,53,8740,935,12/20/2022,803
757,tnellisl0,246,5045,80,4219,346,9/2/2022,2904
758,wlaysonl1,992,3119,14,1852,581,8/18/2022,1049
759,vjurisl2,125,5885,89,2259,74,9/18/2022,2260
760,eyanovl3,516,4067,34,4113,138,5/20/2022,2004
761,ghandlingl4,541,2856,28,8064,126,1/27/2022,1995
762,lupstonel5,840,1392,20,5759,840,10/8/2022,3325
763,rkerl6,727,7319,45,1230,886,1/11/2022,3026
764,wdantonl7,274,5530,38,2328,266,3/3/2022,3222
765,doliveyl8,82,9963,44,2085,110,1/10/2022,1620
766,aekkell9,83,8915,17,8824,992,11/17/2022,1794
767,vatheyla,921,1291,65,9548,232,11/1/2022,974
768,dcovellelb,202,401,39,8469,333,2/7/2022,999
769,igunthorplc,933,2678,1,3026,861,7/26/2022,2449
770,spatienceld,631,5502,82,8979,234,3/28/2022,2615
771,jpencostle,258,6336,29,6331,206,1/1/2022,1618
772,nshacklefordlf,850,5985,54,4633,74,9/9/2022,745
773,lklausewitzlg,129,4618,28,8661,442,6/8/2022,2469
774,kgalpenlh,802,7283,94,6982,139,8/16/2022,2450
775,byansonsli,927,3441,13,8716,681,12/9/2022,1004
776,trossinlj,915,1568,23,3568,522,4/14/2022,855
777,ssmythlk,960,4035,79,477,408,3/16/2022,1917
778,bdalmanll,925,9389,98,5525,349,11/4/2022,935
779,vtoquetlm,668,1977,39,1677,647,8/15/2022,1572
780,nbrakewellln,747,6580,95,5092,399,3/12/2022,2695
781,aferenczilo,407,9868,38,3957,637,10/4/2022,3346
782,cmunkleylp,192,5642,10,1832,950,12/16/2022,599
783,jashplantlq,46,6910,8,1309,758,9/27/2022,2711
784,djanuarylr,904,1241,40,3056,245,5/1/2022,2448
785,ekamienskils,52,7205,34,7498,592,10/10/2022,3244
786,acitrinelt,600,9887,95,1673,168,10/23/2022,1530
787,lkubinlu,646,2525,46,747,164,3/6/2022,135
788,ltompkinlv,479,9234,82,3303,192,7/18/2022,1342
789,tkinneylw,585,2352,12,7002,670,6/22/2022,2979
790,sfeatherstonhalghlx,959,2863,91,5134,389,1/8/2022,2706
791,ovasyatkinly,628,2977,65,5244,275,11/17/2022,210
792,elawdaylz,921,4129,60,1445,750,11/11/2022,2825
793,kbellefontem0,357,9444,81,3132,47,11/15/2022,2105
794,rlettm1,135,8722,88,7186,174,1/6/2022,1921
795,wjaouenm2,73,7608,55,4436,432,10/20/2022,1019
796,aducarnem3,329,6069,39,4019,3,2/19/2022,2685
797,gjoelm4,947,6907,72,558,744,7/8/2022,2111
798,adehoochm5,410,1683,67,5273,820,7/27/2022,2366
799,hpetraitism6,990,8819,8,5554,252,11/24/2022,1983
800,blermouthm7,101,7118,16,2031,465,6/8/2022,398
801,adeathm8,729,2697,2,3533,137,2/9/2022,2004
802,aloftym9,175,3477,86,4017,443,6/30/2022,3084
803,jtromanma,860,9034,18,7939,285,1/12/2022,1916
804,xbakhrushkinmb,896,4159,59,3077,981,1/30/2022,530
805,lmichallatmc,978,1064,24,858,184,7/13/2022,2279
806,rtilbymd,749,3389,85,9079,492,10/14/2022,3246
807,rfischerme,902,4452,87,6145,4,4/24/2022,2193
808,jgoodbairnmf,931,5355,5,4503,125,10/14/2022,955
809,esoansmg,157,1072,23,6253,772,1/6/2022,553
810,pwhitwammh,148,8951,14,6056,504,2/14/2022,1937
811,rrobichonmi,545,2613,75,880,440,5/15/2022,3163
812,aslackmj,311,6692,38,8360,998,11/3/2022,178
813,ksamettmk,930,4150,65,3141,370,5/10/2022,1411
814,lbeneyml,276,5187,51,7524,460,9/13/2022,2938
815,hgrisenthwaitemm,678,8416,17,9124,282,5/9/2022,1829
816,hstranieromn,630,5678,24,4121,913,6/21/2022,2079
817,ccavilmo,564,6322,54,5741,516,2/17/2022,3299
818,tvasiltsovmp,10,6311,34,6509,922,11/23/2022,861
819,vblackslandmq,909,5765,52,5190,753,3/20/2022,3528
820,rflawnmr,51,8085,23,9331,34,5/14/2022,2095
821,dmewburnms,667,5378,94,7622,290,11/2/2022,317
822,dlorandmt,977,5005,34,5318,541,5/26/2022,1444
823,lendacottmu,673,5811,6,9371,524,10/13/2022,1795
824,mtewmv,154,819,97,8516,720,3/22/2022,332
825,rbourgetmw,977,6859,42,6060,296,8/4/2022,760
826,pshortomx,792,3030,54,4451,235,10/19/2022,771
827,ekupkemy,641,9986,95,2601,860,12/5/2022,6
828,hdittymz,312,4696,89,7345,542,4/21/2022,267
829,fmithonn0,739,2789,54,9930,224,1/16/2022,68
830,smaccrackann1,620,3607,12,5382,940,6/21/2022,1844
831,aterringtonn2,174,8801,68,6668,16,1/25/2022,1440
832,rpalinn3,683,7386,47,2516,519,1/28/2022,2313
833,bsendsn4,944,1553,1,726,614,11/27/2022,2828
834,lateggartn5,869,3688,87,2140,990,12/20/2022,2200
835,espurryern6,132,432,88,4516,285,7/13/2022,1863
836,nbangiardn7,925,7206,39,9385,6,10/21/2022,2446
837,mmassinghamn8,340,4955,30,3750,749,11/27/2022,1205
838,jhuggardn9,828,921,8,9996,639,12/12/2022,1679
839,ljahnckena,658,3637,3,9187,157,11/25/2022,3510
840,kreinhartnb,147,1528,6,1016,386,5/27/2022,393
841,jgregrnc,712,6080,80,6496,860,3/17/2022,620
842,hpocockend,779,955,94,1301,597,3/17/2022,3159
843,mblazekne,892,5942,26,8468,882,12/14/2022,2575
844,aclericoatesnf,763,8731,93,1509,82,3/26/2022,3593
845,karcaseng,608,6377,76,7560,930,6/11/2022,3158
846,svarrownh,431,3980,79,470,436,8/5/2022,1597
847,kcaldicotni,825,3106,86,8463,20,3/22/2022,2161
848,lbirkettnj,690,1913,15,6958,177,4/16/2022,915
849,tmatoninnk,39,9712,92,2124,512,9/24/2022,323
850,hjurcziknl,239,3527,75,5197,33,2/11/2022,3483
851,jgravetnm,963,5891,93,6480,276,7/12/2022,2123
852,pjaszczaknn,374,7980,65,6630,679,12/11/2022,2349
853,dmullochno,225,3018,14,93,823,9/20/2022,2580
854,bkimberleynp,600,5300,24,4313,279,2/17/2022,1018
855,gmaiklemnq,289,5964,92,7679,961,3/8/2022,1814
856,acombenr,113,4628,64,8144,894,11/4/2022,335
857,prhoadesns,266,644,78,4643,234,3/29/2022,1191
858,tstreaknt,691,2831,15,7307,268,1/8/2022,658
859,fullyottnu,747,695,74,3482,382,8/28/2022,2077
860,grickettsnv,662,3720,59,6962,254,7/12/2022,916
861,hhollowsnw,43,5919,91,9058,427,2/1/2022,3035
862,tredleynx,1000,4077,75,4148,905,3/27/2022,235
863,cbrandsmany,14,8760,53,8145,984,5/16/2022,1949
864,bheinnz,776,6596,52,3332,139,9/10/2022,59
865,falcorno0,449,657,17,5977,465,10/12/2022,163
866,rbendao1,649,9001,13,5540,485,8/3/2022,2447
867,vkemmonso2,207,3915,24,7913,360,9/19/2022,3050
868,stripeano3,378,7313,2,5577,466,12/2/2022,264
869,rsellero4,186,8909,43,6250,138,3/5/2022,2699
870,samiableo5,102,8966,60,7690,375,3/7/2022,2271
871,bwoolvino6,433,8334,25,7175,23,5/5/2022,2650
872,hhorribineo7,229,7796,29,323,576,11/8/2022,2841
873,dshearmuro8,59,9393,99,3259,112,2/24/2022,2787
874,cflaoniero9,417,9242,29,5863,31,9/22/2022,2001
875,bboribaloa,622,2553,15,8372,302,5/14/2022,938
876,vclothierob,236,7700,3,4317,621,1/27/2022,2111
877,tranaghanoc,649,3391,91,3512,543,10/24/2022,3516
878,pbraybrookesod,916,3331,88,126,740,11/6/2022,328
879,gronanoe,663,716,1,2896,578,4/28/2022,1912
880,npedrolof,849,5087,86,2328,270,6/5/2022,930
881,cbrandinog,853,3855,48,8063,603,3/12/2022,2015
882,aocallaghanoh,861,8004,100,830,974,7/12/2022,3343
883,gflemmingoi,15,8166,34,5711,824,7/19/2022,725
884,vbembrickoj,702,8506,52,5095,532,12/22/2022,2963
885,abackmanok,720,1461,73,4476,181,10/27/2022,1573
886,smbarronol,830,2687,39,9715,489,11/27/2022,2352
887,iberridgeom,714,1751,87,7276,658,12/17/2022,3067
888,pbartusekon,727,99,79,4520,547,6/24/2022,3414
889,cetheringtonoo,671,1236,93,2782,886,7/13/2022,1296
890,jmarringtonop,246,2139,7,9274,45,5/13/2022,470
891,atreharneoq,726,131,40,7670,720,12/17/2022,581
892,dhattor,123,6803,20,9262,222,9/2/2022,2972
893,ldemarcoos,156,562,37,5432,395,7/9/2022,897
894,aangroveot,587,4872,20,1827,703,1/22/2022,2598
895,lsiebertou,953,2356,0,8170,626,6/29/2022,547
896,fthodayov,347,4176,43,3246,947,5/31/2022,3247
897,bbosworthow,353,6786,98,8633,391,1/23/2022,810
898,erolseox,668,9992,79,623,193,6/22/2022,3270
899,milsleyoy,434,4485,25,2103,673,4/27/2022,1808
900,lpeschmannoz,346,2054,74,1345,149,9/15/2022,3592
901,bhingep0,984,1545,0,6994,391,12/21/2022,1417
902,khurnp1,132,5491,78,7106,15,11/30/2022,1377
903,awaldramp2,493,151,44,4420,619,4/10/2022,725
904,yscantleberryp3,49,7539,80,4233,851,12/13/2022,1652
905,crandalsp4,142,7878,2,8556,897,3/9/2022,2937
906,rdaffeyp5,875,1806,65,5577,697,5/5/2022,8
907,apartonp6,721,9561,90,4372,399,11/18/2022,1670
908,lomarap7,320,6450,1,1033,636,5/26/2022,636
909,tbasilonep8,545,6661,24,9842,849,8/28/2022,114
